Time,Measurement,Label,Grid,Region,Value
2019-05-07 07:45:15,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:45:30,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:45:45,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:46:00,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:46:15,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:46:30,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:46:45,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:47:00,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:47:15,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:47:30,failed,GET+%2F,warm-oasis,ap-southeast-1,84
2019-05-07 07:47:45,failed,GET+%2F,warm-oasis,ap-southeast-1,402
2019-05-07 07:48:00,failed,GET+%2F,warm-oasis,ap-southeast-1,349
2019-05-07 07:48:15,failed,GET+%2F,warm-oasis,ap-southeast-1,307
2019-05-07 07:48:30,failed,GET+%2F,warm-oasis,ap-southeast-1,167
2019-05-07 07:48:45,failed,GET+%2F,warm-oasis,ap-southeast-1,33
2019-05-07 07:49:00,failed,GET+%2F,warm-oasis,ap-southeast-1,40
2019-05-07 07:49:15,failed,GET+%2F,warm-oasis,ap-southeast-1,52
2019-05-07 07:49:30,failed,GET+%2F,warm-oasis,ap-southeast-1,95
2019-05-07 07:49:45,failed,GET+%2F,warm-oasis,ap-southeast-1,54
2019-05-07 07:50:00,failed,GET+%2F,warm-oasis,ap-southeast-1,153
2019-05-07 07:50:15,failed,GET+%2F,warm-oasis,ap-southeast-1,375
2019-05-07 07:50:30,failed,GET+%2F,warm-oasis,ap-southeast-1,189
2019-05-07 07:50:45,failed,GET+%2F,warm-oasis,ap-southeast-1,393
2019-05-07 07:51:00,failed,GET+%2F,warm-oasis,ap-southeast-1,194
2019-05-07 07:51:15,failed,GET+%2F,warm-oasis,ap-southeast-1,67
2019-05-07 07:51:30,failed,GET+%2F,warm-oasis,ap-southeast-1,54
2019-05-07 07:51:45,failed,GET+%2F,warm-oasis,ap-southeast-1,5
2019-05-07 07:52:00,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:52:15,failed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:45:15,passed,GET+%2F,warm-oasis,ap-southeast-1,97
2019-05-07 07:45:30,passed,GET+%2F,warm-oasis,ap-southeast-1,87
2019-05-07 07:45:45,passed,GET+%2F,warm-oasis,ap-southeast-1,41
2019-05-07 07:46:00,passed,GET+%2F,warm-oasis,ap-southeast-1,36
2019-05-07 07:46:15,passed,GET+%2F,warm-oasis,ap-southeast-1,56
2019-05-07 07:46:30,passed,GET+%2F,warm-oasis,ap-southeast-1,45
2019-05-07 07:46:45,passed,GET+%2F,warm-oasis,ap-southeast-1,146
2019-05-07 07:47:00,passed,GET+%2F,warm-oasis,ap-southeast-1,165
2019-05-07 07:47:15,passed,GET+%2F,warm-oasis,ap-southeast-1,133
2019-05-07 07:47:30,passed,GET+%2F,warm-oasis,ap-southeast-1,178
2019-05-07 07:47:45,passed,GET+%2F,warm-oasis,ap-southeast-1,198
2019-05-07 07:48:00,passed,GET+%2F,warm-oasis,ap-southeast-1,168
2019-05-07 07:48:15,passed,GET+%2F,warm-oasis,ap-southeast-1,74
2019-05-07 07:48:30,passed,GET+%2F,warm-oasis,ap-southeast-1,101
2019-05-07 07:48:45,passed,GET+%2F,warm-oasis,ap-southeast-1,84
2019-05-07 07:49:00,passed,GET+%2F,warm-oasis,ap-southeast-1,153
2019-05-07 07:49:15,passed,GET+%2F,warm-oasis,ap-southeast-1,149
2019-05-07 07:49:30,passed,GET+%2F,warm-oasis,ap-southeast-1,254
2019-05-07 07:49:45,passed,GET+%2F,warm-oasis,ap-southeast-1,227
2019-05-07 07:50:00,passed,GET+%2F,warm-oasis,ap-southeast-1,304
2019-05-07 07:50:15,passed,GET+%2F,warm-oasis,ap-southeast-1,334
2019-05-07 07:50:30,passed,GET+%2F,warm-oasis,ap-southeast-1,270
2019-05-07 07:50:45,passed,GET+%2F,warm-oasis,ap-southeast-1,244
2019-05-07 07:51:00,passed,GET+%2F,warm-oasis,ap-southeast-1,231
2019-05-07 07:51:15,passed,GET+%2F,warm-oasis,ap-southeast-1,270
2019-05-07 07:51:30,passed,GET+%2F,warm-oasis,ap-southeast-1,91
2019-05-07 07:51:45,passed,GET+%2F,warm-oasis,ap-southeast-1,0
2019-05-07 07:52:00,passed,GET+%2F,warm-oasis,ap-southeast-1,45
2019-05-07 07:52:15,passed,GET+%2F,warm-oasis,ap-southeast-1,6
2019-05-07 07:45:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,3040
2019-05-07 07:45:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,11954
2019-05-07 07:45:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,21743
2019-05-07 07:46:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,18379
2019-05-07 07:46:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,33741
2019-05-07 07:46:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,29857
2019-05-07 07:46:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,41370
2019-05-07 07:47:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,39658
2019-05-07 07:47:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,43312
2019-05-07 07:47:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,85361
2019-05-07 07:47:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,113947
2019-05-07 07:48:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,108741
2019-05-07 07:48:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,121776
2019-05-07 07:48:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,100875
2019-05-07 07:48:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,43616
2019-05-07 07:49:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,52591
2019-05-07 07:49:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,67959
2019-05-07 07:49:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,59952
2019-05-07 07:49:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,61481
2019-05-07 07:50:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,93472
2019-05-07 07:50:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,94858
2019-05-07 07:50:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,108167
2019-05-07 07:50:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,136534
2019-05-07 07:51:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,131559
2019-05-07 07:51:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,99427
2019-05-07 07:51:30,response_time,GET+%2F,warm-oasis,ap-southeast-1,203437
2019-05-07 07:51:45,response_time,GET+%2F,warm-oasis,ap-southeast-1,129338
2019-05-07 07:52:00,response_time,GET+%2F,warm-oasis,ap-southeast-1,115009
2019-05-07 07:52:15,response_time,GET+%2F,warm-oasis,ap-southeast-1,117498
